"id","status","wfo","ident","name","city","state","lat","long"
1,"GREEN","AKQ","KAKQ","Wakefield Municipal Airport","Wakefield","VA","42.69589996","-73.17040253"
2,"GREEN","AKQ","KECG","Elizabeth City Regional Airport & Coast Guard Air Station","Elizabeth City","NC","36.260601","-76.174599"
3,"GREEN","AKQ","KOFP","Hanover County Municipal Airport","Hanover","VA","37.709","-77.436699"
4,"GREEN","AKQ","KORF","Norfolk International Airport","Norfolk","VA","36.8946","-76.201202"
5,"GREEN","AKQ","KOXB","Ocean City Municipal Airport","Ocean City","MD","38.3103981","-75.12400055"
6,"GREEN","AKQ","KPHF","Newport News Williamsburg International Airport","Newport News","VA","37.131901","-76.492996"
7,"GREEN","AKQ","KRIC","Richmond International Airport","Richmond","VA","37.50519943","-77.31970215"
8,"GREEN","AKQ","KSBY","Salisbury Ocean City Wicomico Regional Airport","Salisbury","MD","38.34049988","-75.51029968"
9,"GREEN","AKQ","KWAL","Wallops Flight Facility Airport","Wallops Island","VA","37.940813","-75.462255"
10,"GREEN","ALY","KALB","Albany International Airport","Albany","NY","42.74829865","-73.80169678"
11,"GREEN","ALY","KAQW","Harriman and West Airport","North Adams","MA","42.69589996","-73.17040253"
12,"GREEN","ALY","KDDH","William H Morse State Airport","Bennington","VT","42.8913","-73.246399"
13,"GREEN","ALY","KGFL","Floyd Bennett Memorial Airport","Glens Falls","NY","43.34120178","-73.61029816"
14,"GREEN","ALY","KPOU","Dutchess County Airport","Poughkeepsie","NY","41.62659836","-73.88420105"
15,"GREEN","ALY","KPSF","Pittsfield Municipal Airport","Pittsfield","MA","42.4268","-73.2929"
16,"GREEN","BGM","KAVP","Wilkes Barre Scranton International Airport","Wilkes-Barre/Scranton","PA","41.33850098","-75.7233963"
